open,close,high,low,volume,median_prior,stdv_prior,deep_median,deep_stdv,growth,difference,buy,sell
48.222,47.971,48.3,47.705,8454.692934,47.67283,0.31566,46.59315,1.06339,-0.251,-0.228,0,0
47.996,49.549,49.683,47.95,25143.21591,47.81833,0.38314,46.70026,1.0826,1.553,1.578,0,1
49.513,49.799,49.8,48.7,29004.12925,48.21783,0.7213,46.86335,1.11149,0.286,0.25,0,1
49.799,49.043,49.89,48.945,16167.48948,48.84167,0.8631,47.05274,1.19472,-0.756,-0.756,0,0
48.95,48.61,49.252,48.322,20098.67779,49.28317,0.6885,47.22113,1.24488,-0.34,-0.433,0,0
48.6,48.927,49,48.174,19514.73857,49.28567,0.49128,47.36324,1.22708,0.327,0.317,0,0
48.997,48.44,49,48.2,12059.30987,48.98817,0.43803,47.50691,1.18629,-0.557,-0.487,0,0
48.456,48.952,48.955,47.942,13039.57227,48.754,0.23257,47.65276,1.11709,0.496,0.512,0,0
48.925,48.73,49.01,48.439,11864.61226,48.72867,0.25902,47.788,1.04526,-0.195,-0.222,0,0
48.707,48.653,48.887,48.593,7326.151726,48.75,0.25115,47.92498,0.96108,-0.054,-0.077,0,0
48.653,49.068,49.334,48.534,10571.90015,48.73717,0.18359,48.04748,0.86244,0.415,0.415,0,0
49.05,49.2,49.5,48.93,8700.125213,48.78933,0.16943,48.13315,0.8193,0.15,0.132,0,0
49.198,48.453,49.2,48.281,15267.57152,48.8885,0.24462,48.18789,0.84089,-0.745,-0.747,0,0
48.472,48.843,48.924,48.345,5887.874851,48.937,0.31053,48.22907,0.8507,0.371,0.39,0,0
48.848,49.28,49.399,48.779,7284.10182,48.86933,0.34115,48.27589,0.84389,0.432,0.437,0,1
49.28,48.78,49.297,48.66,8538.572983,48.849,0.34829,48.34941,0.83625,-0.5,-0.5,0,1
48.779,49.07,49.149,48.735,5941.041474,48.91717,0.31323,48.43891,0.79167,0.291,0.29,0,1
49.099,49.199,49.295,48.937,6096.898564,49.00617,0.23741,48.52609,0.72472,0.1,0.129,0,1
49.165,49.3,49.453,48.941,7177.599445,49.0345,0.21109,48.6135,0.6702,0.135,0.101,0,1
49.249,47.763,49.337,47.544,17106.81353,49.102,0.17773,48.69337,0.6228,-1.486,-1.537,0,0
47.82,48.001,48.269,47.45,19369.23194,48.9625,0.59167,48.73098,0.60221,0.181,0.238,0,0
47.941,47.224,48.197,47.212,10734.07882,48.54967,0.75934,48.74187,0.58415,-0.717,-0.777,0,0
47.353,47.519,47.617,47.136,12651.56255,47.99967,0.67145,48.74224,0.58671,0.166,0.295,0,0
47.521,47.587,47.875,47.521,8790.105002,47.643,0.32352,48.72709,0.6097,0.066,0.068,0,0
47.588,47.248,47.65,47.001,16342.84178,47.52417,0.24378,48.7035,0.64343,-0.34,-0.339,0,0
47.321,47.343,47.715,47.218,5573.20835,47.46933,0.13826,48.64461,0.67689,0.022,0.095,0,0
47.33,47.46,47.674,47.23,5358.878318,47.43467,0.14855,48.54357,0.69134,0.13,0.117,0,0
47.46,47.659,47.75,47.374,6683.876194,47.38167,0.122,48.45548,0.69876,0.199,0.199,0,0
47.672,47.971,48.283,47.672,13645.34524,47.42883,0.12937,48.40241,0.71801,0.299,0.312,0,0
47.97,47.675,47.97,47.546,8461.194201,47.592,0.22717,48.36146,0.72308,-0.295,-0.296,0,0
47.675,47.717,47.9,47.5,8803.54871,47.7345,0.19994,48.3225,0.72529,0.042,0.042,0,0
47.679,47.84,47.91,47.53,4032.983653,47.78,0.1485,48.27867,0.72962,0.161,0.123,0,0
47.84,47.67,47.867,47.65,1907.741135,47.75933,0.12113,48.23224,0.72705,-0.17,-0.17,0,0
47.67,47.309,47.677,47,15925.59431,47.73683,0.08163,48.19202,0.72695,-0.361,-0.361,0,0
47.379,47.641,47.73,47.226,4233.097303,47.668,0.194,48.13241,0.72555,0.262,0.332,0,0
47.641,47.513,47.641,47.288,4763.927572,47.58483,0.20061,48.0622,0.7038,-0.128,-0.128,0,0
47.506,47.52,47.71,47.504,3709.421234,47.5255,0.15235,48.00791,0.68622,0.014,0.007,0,0
47.52,47.671,47.773,47.463,3747.832625,47.53333,0.09833,47.95815,0.67748,0.151,0.151,0,0
47.67,47.3,47.729,47.177,7524.789283,47.56183,0.07374,47.8943,0.63599,-0.37,-0.371,0,0
47.299,47.533,47.57,47.27,5640.80592,47.53117,0.13649,47.82713,0.59054,0.234,0.233,0,0
47.549,47.57,47.7,47.5,4666.246866,47.49883,0.16735,47.76154,0.54589,0.021,0.037,0,0
47.569,48.429,48.785,47.509,16653.82114,47.48683,0.15274,47.69243,0.45745,0.86,0.859,0,0
48.429,48.295,48.51,48.02,8834.341818,47.65817,0.39153,47.6388,0.33631,-0.134,-0.134,0,0
48.292,48.797,49.109,48.193,19798.19133,47.9735,0.45276,47.63254,0.28026,0.505,0.502,0,0
48.797,48.628,49.12,48.6,14538.4591,48.30183,0.40366,47.66011,0.3373,-0.169,-0.169,0,0
48.601,48.509,48.839,48.43,6423.350244,48.53967,0.23396,47.70924,0.39353,-0.092,-0.119,0,0
48.508,48.571,48.799,48.334,9622.385736,48.604,0.1905,47.75789,0.42509,0.063,0.062,0,0
48.571,48.601,48.643,48.193,13049.56892,48.60233,0.10691,47.80074,0.4518,0.03,0.03,0,0
48.609,48.577,48.643,48.41,9384.26402,48.56017,0.04221,47.85152,0.47023,-0.032,-0.024,0,0
48.534,48.709,48.841,48.41,10873.84977,48.57283,0.03558,47.90635,0.48009,0.175,0.132,0,0
48.811,48.695,49.079,48.56,19313.67806,48.60017,0.05948,47.95967,0.48871,-0.116,-0.014,0,0
48.694,49.054,49.25,48.609,18322.99612,48.65583,0.10167,48.01157,0.50661,0.36,0.359,0,0
